Theater Name,Film Title,Format,Showtime,Daypart,Ticket Type,Price,Capacity,Previous Price,Price_Change
Movie Tavern West 7th Street,Freakier Friday (2025),2D,12:45p,Unknown,General Admission,$9.74,N/A,N/A,N/A
Movie Tavern West 7th Street,Freakier Friday (2025),2D,12:45p,Unknown,Child,$9.20,N/A,N/A,N/A
Movie Tavern West 7th Street,Freakier Friday (2025),2D,12:45p,Unknown,Senior,$9.20,N/A,N/A,N/A
Movie Tavern Hulen,Freakier Friday (2025),2D,11:45a,Unknown,General Admission,$9.74,N/A,N/A,N/A
Movie Tavern Hulen,Freakier Friday (2025),2D,11:45a,Unknown,Child,$9.20,N/A,N/A,N/A
Movie Tavern Hulen,Freakier Friday (2025),2D,11:45a,Unknown,Senior,$9.20,N/A,N/A,N/A
AMC DINE-IN Clearfork 8,Freakier Friday (2025),2D,12:45p,Unknown,Adult,$11.68,N/A,N/A,N/A
AMC DINE-IN Clearfork 8,Freakier Friday (2025),2D,12:45p,Unknown,Senior,$10.38,N/A,N/A,N/A
AMC DINE-IN Clearfork 8,Freakier Friday (2025),2D,12:45p,Unknown,Child,$9.08,N/A,N/A,N/A
AMC Lake Worth 14,Freakier Friday (2025),2D,12:00p,Unknown,Adult,$6.92,N/A,N/A,N/A
AMC Lake Worth 14,Freakier Friday (2025),2D,12:00p,Unknown,Senior,$6.05,N/A,N/A,N/A
AMC Lake Worth 14,Freakier Friday (2025),2D,12:00p,Unknown,Child,$5.19,N/A,N/A,N/A
AMC Hulen 10,Freakier Friday (2025),2D,12:50p,Unknown,Adult,$9.95,N/A,N/A,N/A
AMC Hulen 10,Freakier Friday (2025),2D,12:50p,Unknown,Senior,$8.65,N/A,N/A,N/A
AMC Hulen 10,Freakier Friday (2025),2D,12:50p,Unknown,Child,$7.35,N/A,N/A,N/A
AMC Palace 9,Freakier Friday (2025),2D,1:30p,Unknown,Adult,$10.81,N/A,N/A,N/A
AMC Palace 9,Freakier Friday (2025),2D,1:30p,Unknown,Senior,$9.52,N/A,N/A,N/A
AMC Palace 9,Freakier Friday (2025),2D,1:30p,Unknown,Child,$8.22,N/A,N/A,N/A
Regal Fossil Creek,Freakier Friday (2025),2D,11:10a,Unknown,Adult,$9.73,N/A,N/A,N/A
Regal Fossil Creek,Freakier Friday (2025),2D,11:10a,Unknown,Child,$9.19,N/A,N/A,N/A
Regal Fossil Creek,Freakier Friday (2025),2D,11:10a,Unknown,Senior,$9.19,N/A,N/A,N/A
America Cinemas Fort Worth,Freakier Friday (2025),2D,12:00p,Unknown,Matinee Ages 13+,$7.00,N/A,N/A,N/A
America Cinemas Fort Worth,Freakier Friday (2025),2D,12:00p,Unknown,Senior,$7.00,N/A,N/A,N/A
America Cinemas Fort Worth,Freakier Friday (2025),2D,12:00p,Unknown,Kids Ages 2-12,$6.50,N/A,N/A,N/A
Studio Movie Grill Chisholm Trail Ranch,Freakier Friday (2025),2D,10:00a,Unknown,Adult,$10.28,N/A,N/A,N/A
Studio Movie Grill Chisholm Trail Ranch,Freakier Friday (2025),2D,10:00a,Unknown,Child,$9.74,N/A,N/A,N/A
Studio Movie Grill Chisholm Trail Ranch,Freakier Friday (2025),2D,10:00a,Unknown,Senior,$9.74,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Freakier Friday (2025),2D,9:30a,Unknown,Child,$8.39,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Freakier Friday (2025),2D,9:30a,Unknown,Matinee,$8.39,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Freakier Friday (2025),2D,9:30a,Unknown,Senior,$8.39,N/A,N/A,N/A
