Theater Name,Film Title,Format,Showtime,Daypart,Ticket Type,Price,Capacity,Previous Price,Price_Change
Cinemark Rave Ridgmar 13 and XD,Texas Chain Saw Day,2D,7:10p,Unknown,Fathom $12.50,$13.53,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,10:35a,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,10:35a,Unknown,Matinee DBOX,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,10:35a,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,12:55p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,12:55p,Unknown,Matinee DBOX,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,12:55p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,3:15p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,3:15p,Unknown,Matinee DBOX,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,3:15p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,5:35p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,5:35p,Unknown,Matinee DBOX,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,5:35p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,7:55p,Unknown,General Admission DBOX,$20.57,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,7:55p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,7:55p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,10:15p,Unknown,General Admission DBOX,$20.57,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,10:15p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,10:15p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,1:35p,Unknown,Child (XD),$19.49,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,1:35p,Unknown,XD DBOX Matinee,$19.49,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,1:35p,Unknown,Senior (XD),$19.49,N/A,N/A,N/A
