timestamp,mode,theater_count,showtime_count,duration_seconds
8/18/2025 3:43,Market Mode,4,4,31.43
8/18/2025 3:54,Market Mode,10,19,122.85
8/21/2025 9:32,Market Mode,10,44,222.58
8/21/2025 9:47,Market Mode,10,45,228.07
8/22/2025 0:39,Market Mode,10,7,37.2
8/22/2025 0:40,CompSnipe Mode,2,4,20.23
8/22/2025 10:06,Market Mode,10,39,196.74
8/23/2025 12:06,Market Mode,2,1,5.29
8/23/2025 15:39,Market Mode,2,10,48.59
8/23/2025 20:47,CompSnipe Mode,1,4,20.77
8/25/2025 19:21,Market Mode,3,5,26.22
8/25/2025 19:22,Market Mode,1,1,5.48
8/25/2025 20:17,Market Mode,1,2,8.82
8/25/2025 20:46,Market Mode,2,4,17.95
8/25/2025 21:04,Market Mode,3,5,24.38
8/25/2025 21:14,CompSnipe Mode,1,13,69.52
9/2/2025 13:23,Market Mode,4,74,341.48
9/3/2025 17:04,Market Mode,7,34,169.07
9/3/2025 17:06,CompSnipe Mode,2,1,4.85
9/4/2025 13:19,Market Mode,10,1,4.97
9/4/2025 13:53,Market Mode,1,45,221.05
9/4/2025 15:29,Market Mode,43,1930,11193.71
2025-09-05 17:37:34,Market Mode,8,5,25.82
2025-09-05 17:38:30,CompSnipe Mode,2,3,13.75
2025-09-07 15:16:50,Market Mode,8,16,85.33
2025-09-07 15:29:00,Market Mode,1,2,9.5
2025-09-09 08:59:06,Market Mode,9,25,120.7
2025-09-11 16:58:31,CompSnipe Mode,1,4,12.46
